630	600	650	230	重巡	56600
630	600	650	230	战列	45085
630	600	650	230	战巡	13266
630	600	650	230	重炮	6313
630	600	650	230	驱逐	559
400	600	600	130	重巡	15036
400	600	600	130	战列	11831
400	600	600	130	战巡	3417
400	600	600	130	轻巡	2065
400	600	600	130	重炮	1776
400	600	600	130	驱逐	152
400	600	600	300	重巡	24031
400	600	600	300	轻母	9626
400	600	600	300	水母	5395
400	600	600	300	轻巡	3355
400	600	600	300	重炮	2696
400	600	600	300	航母	1261
400	600	600	300	驱逐	230
300	30	400	300	轻巡	28622
300	30	400	300	重巡	21243
300	30	400	300	轻母	9535
300	30	400	300	水母	5336
300	30	400	300	重炮	2751
300	30	400	300	航母	1290
300	30	400	300	驱逐	221
