400	130	600	130	新奥尔良	重巡
400	130	500	400	爱宕	重巡
300	30	400	300	高雄	重巡
300	30	400	300	圣胡安	轻巡
300	30	400	300	布吕歇尔	重巡
300	30	400	300	逸仙	轻巡
130	130	130	130	卡尔斯鲁厄	轻巡
130	130	130	130	电	驱逐
400	250	510	260	昆西	重巡
400	250	510	260	爱宕	重巡
400	30	600	130	田纳西	战列
400	30	600	130	加利福尼亚	战列
430	330	430	330	萨拉托加	航母
130	130	130	130	夕张	轻巡
403	33	603	133	夕张	轻巡
400	30	600	130	逸仙	轻巡
400	650	600	130	欧根亲王	重巡
400	30	600	130	欧根亲王	重巡
400	130	600	130	高雄	重巡
400	130	600	130	山城	战列
400	130	600	130	肯特	重巡
400	130	600	130	俾斯麦	战列
300	130	200	130	朱诺	轻巡
400	130	600	130	海伦娜	轻巡
400	130	600	130	阿贝克隆比	重炮
400	130	600	130	爱宕	重巡
400	130	600	130	摩耶	重巡
400	130	600	130	肯特	重巡
400	130	600	130	加利福尼亚	战列
400	130	600	130	纳尔逊	战列
400	130	600	130	布吕歇尔	重巡
400	130	600	130	希佩尔	重巡
400	130	600	130	声望	战巡
400	130	600	130	俄克拉荷马	战列
400	130	600	130	内华达	战列
400	130	600	130	鸟海	重巡
630	600	650	230	日向	战列
630	600	650	230	俄克拉荷马	战列
400	130	600	130	彭萨科拉	重巡
400	130	600	130	阿贝克隆比	重炮
400	130	600	130	威奇塔	重巡
630	500	450	230	大井	轻巡
400	130	600	130	内华达	战列
400	130	600	130	扶桑	战列
400	130	600	130	扶桑	战列
400	130	650	130	声望	战巡
400	130	600	130	日向	战列
400	130	600	130	山城	战列
130	130	130	130	科隆	轻巡
400	130	600	130	声望	战巡
400	80	650	130	新奥尔良	重巡
400	80	650	130	山城	战列
400	80	650	130	摩耶	重巡
400	80	650	130	俄克拉荷马	战列
130	130	130	130	五十铃	轻巡
400	80	650	130	昆西	重巡
400	80	650	130	布吕歇尔	重巡
400	80	650	130	爱宕	重巡
400	80	650	130	爱宕	重巡
400	80	650	130	新奥尔良	重巡
400	80	650	130	逸仙	轻巡
400	80	650	130	声望	战巡
130	130	130	130	晓	驱逐
400	130	500	400	百眼巨人	轻母
300	30	400	300	大井	轻巡
400	80	650	130	平海	轻巡
300	30	400	300	彭萨科拉	重巡
130	130	130	230	亚特兰大	轻巡
400	100	500	300	祥凤	轻母
400	30	600	130	夕张	轻巡
400	80	650	130	山城	战列
300	30	400	300	百眼巨人	轻母
130	130	130	130	大井	轻巡
300	30	400	300	百眼巨人	轻母
400	80	650	130	田纳西	战列
130	130	130	130	夕张	轻巡
400	130	500	400	百眼巨人	轻母
400	630	650	430	肯特	重巡
400	80	650	130	威奇塔	重巡
400	80	650	130	布吕歇尔	重巡
300	30	400	30	加贺	航母
400	80	650	130	阿拉斯加	战巡
400	600	600	400	欧根亲王	重巡
400	80	660	130	胡德	战巡
400	130	650	130	胡德	战巡
400	130	650	130	关岛	战巡
400	80	650	130	平海	轻巡
